upi_id,amount,transactionAmountDeviation,timeAnomaly,locationDistance,merchantNovelty,transactionFrequency,is_fraud
scammer0@upi,6287.539081765777,0.4502047394491273,0.1791927188670408,78.42281213482994,0.5305014139705092,18,1
user1@upi,6969.658448529863,0.035487618442818,0.38427629081738834,59.21207831204449,0.27244244025702224,1,0
user2@upi,6046.684752698238,0.38405634829837154,0.7403614066545867,75.94804675263168,0.2266367809018821,2,1
user3@upi,3675.021271423171,0.3739960766221171,0.4022944198430808,25.385887508999982,0.7050918972059943,5,0
user4@upi,9290.574035701358,0.7034368429144673,0.687392190664952,18.80001776454331,0.3485192250979675,6,1
user5@upi,4294.139119385692,0.5002166564159024,0.012389118999921234,13.639180115347083,0.7958736938518745,1,0
user6@upi,3486.306672917306,0.5489944436943122,0.12042695269981918,58.095349928062454,0.28442357020971565,2,0
user7@upi,1717.0784488875718,0.44015501676134194,0.9723260048584115,22.56030806574808,0.23867375628048704,6,0
scammer8@upi,6090.059669045977,0.6734286766363641,0.808805836577784,60.92845891028431,0.8494671346488717,2,1
scammer9@upi,4486.763491072599,0.8130652486243315,0.01571329974825686,43.78700466356098,0.08556823750701992,20,1
scammer10@upi,1905.305965060972,0.48163567539852714,0.7600372777686033,97.00017647541634,0.18037454407015419,18,1
scammer11@upi,9324.861866506812,0.9802758226036709,0.7842474319237185,4.678072203429329,0.44944757649459854,6,1
user12@upi,7597.222724069199,0.28937587847213675,0.6717340331751716,34.415609169411844,0.1429845558230628,17,0
scammer13@upi,4285.819671538679,0.5724827959109363,0.836049501487749,67.03518582525165,0.10265140631795022,3,1
scammer14@upi,6289.574685876254,0.2747560521972975,0.5071053151061775,82.55267006111643,0.10940398079472458,19,1
scammer15@upi,3321.8903761228435,0.25179806021977325,0.33111318287936575,82.61179809095522,0.9297294459002307,2,1
user16@upi,4429.648906711964,0.17044646607805214,0.5731080252014027,32.17536203650256,0.20469711997343776,12,0
scammer17@upi,6799.663247835764,0.948059177682547,0.4007012977965986,1.804330518897257,0.6870574198752253,17,1
